model,game,game_name,motivation,thinking,family,game_category,action,action_label,count,n_trials,emp_prob,nash_prob,prob_diff
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,neutral,True,Claude,multiple,A,Football,24,30,0.8,0.6667,0.1333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,neutral,True,Claude,multiple,B,Opera,6,30,0.2,0.3333,-0.1333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,real,True,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,real,True,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,sabotage,True,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,sabotage,True,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,self,True,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,self,True,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,coordination_game,Coordination Game,neutral,True,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude Sonnet 4.5,coordination_game,Coordination Game,neutral,True,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude Sonnet 4.5,coordination_game,Coordination Game,real,True,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude Sonnet 4.5,coordination_game,Coordination Game,real,True,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude Sonnet 4.5,coordination_game,Coordination Game,sabotage,True,Claude,multiple,A,Option A,24,30,0.8,0.5,0.3
Claude Sonnet 4.5,coordination_game,Coordination Game,sabotage,True,Claude,multiple,B,Option B,6,30,0.2,0.5,-0.3
Claude Sonnet 4.5,coordination_game,Coordination Game,self,True,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude Sonnet 4.5,coordination_game,Coordination Game,self,True,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,neutral,True,Claude,multiple,A,Hawk,6,30,0.2,0.6667,-0.4667
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,neutral,True,Claude,multiple,B,Dove,24,30,0.8,0.3333,0.4667
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,real,True,Claude,multiple,A,Hawk,23,30,0.7667,0.6667,0.1
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,real,True,Claude,multiple,B,Dove,7,30,0.2333,0.3333,-0.1
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,sabotage,True,Claude,multiple,A,Hawk,30,30,1.0,0.6667,0.3333
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,sabotage,True,Claude,multiple,B,Dove,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,self,True,Claude,multiple,A,Hawk,30,30,1.0,0.6667,0.3333
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,self,True,Claude,multiple,B,Dove,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,matching_pennies,Matching Pennies,neutral,True,Claude,mixed,A,Heads,21,30,0.7,0.5,0.2
Claude Sonnet 4.5,matching_pennies,Matching Pennies,neutral,True,Claude,mixed,B,Tails,9,30,0.3,0.5,-0.2
Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,True,Claude,mixed,A,Heads,22,30,0.7333,0.5,0.2333
Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,True,Claude,mixed,B,Tails,8,30,0.2667,0.5,-0.2333
Claude Sonnet 4.5,matching_pennies,Matching Pennies,sabotage,True,Claude,mixed,A,Heads,16,30,0.5333,0.5,0.0333
Claude Sonnet 4.5,matching_pennies,Matching Pennies,sabotage,True,Claude,mixed,B,Tails,14,30,0.4667,0.5,-0.0333
Claude Sonnet 4.5,matching_pennies,Matching Pennies,self,True,Claude,mixed,A,Heads,23,30,0.7667,0.5,0.2667
Claude Sonnet 4.5,matching_pennies,Matching Pennies,self,True,Claude,mixed,B,Tails,7,30,0.2333,0.5,-0.2667
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,neutral,True,Claude,pure_dominant,A,Cooperate,15,30,0.5,0.0,0.5
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,neutral,True,Claude,pure_dominant,B,Defect,15,30,0.5,1.0,-0.5
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,True,Claude,pure_dominant,A,Cooperate,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,True,Claude,pure_dominant,B,Defect,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,Claude,pure_dominant,A,Cooperate,7,30,0.2333,0.0,0.2333
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,Claude,pure_dominant,B,Defect,23,30,0.7667,1.0,-0.2333
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,self,True,Claude,pure_dominant,A,Cooperate,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,self,True,Claude,pure_dominant,B,Defect,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,neutral,True,Claude,n_player,A,Contribute 0,14,30,0.4667,1.0,-0.5333
Claude Sonnet 4.5,public_goods,Public Goods Game,neutral,True,Claude,n_player,B,Contribute 5,16,30,0.5333,0.0,0.5333
Claude Sonnet 4.5,public_goods,Public Goods Game,neutral,True,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,real,True,Claude,n_player,A,Contribute 0,12,30,0.4,1.0,-0.6
Claude Sonnet 4.5,public_goods,Public Goods Game,real,True,Claude,n_player,B,Contribute 5,18,30,0.6,0.0,0.6
Claude Sonnet 4.5,public_goods,Public Goods Game,real,True,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,sabotage,True,Claude,n_player,A,Contribute 0,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,sabotage,True,Claude,n_player,B,Contribute 5,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,sabotage,True,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,self,True,Claude,n_player,A,Contribute 0,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,self,True,Claude,n_player,B,Contribute 5,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,self,True,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,neutral,True,Claude,mixed,A,Rock,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,neutral,True,Claude,mixed,B,Paper,30,30,1.0,0.3333,0.6667
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,neutral,True,Claude,mixed,C,Scissors,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,real,True,Claude,mixed,A,Rock,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,real,True,Claude,mixed,B,Paper,30,30,1.0,0.3333,0.6667
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,real,True,Claude,mixed,C,Scissors,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,sabotage,True,Claude,mixed,A,Rock,2,30,0.0667,0.3333,-0.2667
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,sabotage,True,Claude,mixed,B,Paper,28,30,0.9333,0.3333,0.6
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,sabotage,True,Claude,mixed,C,Scissors,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,self,True,Claude,mixed,A,Rock,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,self,True,Claude,mixed,B,Paper,30,30,1.0,0.3333,0.6667
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,self,True,Claude,mixed,C,Scissors,0,30,0.0,0.3333,-0.3333
Claude Sonnet 4.5,stag_hunt,Stag Hunt,neutral,True,Claude,multiple,A,Stag,7,30,0.2333,0.5,-0.2667
Claude Sonnet 4.5,stag_hunt,Stag Hunt,neutral,True,Claude,multiple,B,Hare,23,30,0.7667,0.5,0.2667
Claude Sonnet 4.5,stag_hunt,Stag Hunt,real,True,Claude,multiple,A,Stag,16,30,0.5333,0.5,0.0333
Claude Sonnet 4.5,stag_hunt,Stag Hunt,real,True,Claude,multiple,B,Hare,14,30,0.4667,0.5,-0.0333
Claude Sonnet 4.5,stag_hunt,Stag Hunt,sabotage,True,Claude,multiple,A,Stag,0,30,0.0,0.5,-0.5
Claude Sonnet 4.5,stag_hunt,Stag Hunt,sabotage,True,Claude,multiple,B,Hare,30,30,1.0,0.5,0.5
Claude Sonnet 4.5,stag_hunt,Stag Hunt,self,True,Claude,multiple,A,Stag,0,30,0.0,0.5,-0.5
Claude Sonnet 4.5,stag_hunt,Stag Hunt,self,True,Claude,multiple,B,Hare,30,30,1.0,0.5,0.5
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,neutral,True,Claude,pure_iesds,A,Claim 2,20,30,0.6667,1.0,-0.3333
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,neutral,True,Claude,pure_iesds,B,Claim 25,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,neutral,True,Claude,pure_iesds,C,Claim 50,10,30,0.3333,0.0,0.3333
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,neutral,True,Claude,pure_iesds,D,Claim 75,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,neutral,True,Claude,pure_iesds,E,Claim 99,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,real,True,Claude,pure_iesds,A,Claim 2,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,real,True,Claude,pure_iesds,B,Claim 25,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,real,True,Claude,pure_iesds,C,Claim 50,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,real,True,Claude,pure_iesds,D,Claim 75,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,real,True,Claude,pure_iesds,E,Claim 99,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,sabotage,True,Claude,pure_iesds,A,Claim 2,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,sabotage,True,Claude,pure_iesds,B,Claim 25,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,sabotage,True,Claude,pure_iesds,C,Claim 50,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,sabotage,True,Claude,pure_iesds,D,Claim 75,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,sabotage,True,Claude,pure_iesds,E,Claim 99,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,self,True,Claude,pure_iesds,A,Claim 2,30,30,1.0,1.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,self,True,Claude,pure_iesds,B,Claim 25,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,self,True,Claude,pure_iesds,C,Claim 50,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,self,True,Claude,pure_iesds,D,Claim 75,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,travelers_dilemma,Traveler's Dilemma,self,True,Claude,pure_iesds,E,Claim 99,0,30,0.0,0.0,0.0
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,neutral,True,Claude,mixed,A,Row 1,30,30,1.0,0.6,0.4
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,neutral,True,Claude,mixed,B,Row 2,0,30,0.0,0.4,-0.4
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,real,True,Claude,mixed,A,Row 1,18,30,0.6,0.6,0.0
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,real,True,Claude,mixed,B,Row 2,12,30,0.4,0.4,0.0
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,sabotage,True,Claude,mixed,A,Row 1,20,30,0.6667,0.6,0.0667
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,sabotage,True,Claude,mixed,B,Row 2,10,30,0.3333,0.4,-0.0667
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,self,True,Claude,mixed,A,Row 1,16,30,0.5333,0.6,-0.0667
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,self,True,Claude,mixed,B,Row 2,14,30,0.4667,0.4,0.0667
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,neutral,False,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,neutral,False,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,real,False,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,real,False,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,sabotage,False,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,sabotage,False,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,self,False,Claude,multiple,A,Football,30,30,1.0,0.6667,0.3333
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,self,False,Claude,multiple,B,Opera,0,30,0.0,0.3333,-0.3333
Claude-Haiku-5.2,coordination_game,Coordination Game,neutral,False,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,neutral,False,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,real,False,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,real,False,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,sabotage,False,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,sabotage,False,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,self,False,Claude,multiple,A,Option A,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,coordination_game,Coordination Game,self,False,Claude,multiple,B,Option B,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,neutral,False,Claude,multiple,A,Hawk,8,30,0.2667,0.6667,-0.4
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,neutral,False,Claude,multiple,B,Dove,22,30,0.7333,0.3333,0.4
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,real,False,Claude,multiple,A,Hawk,12,30,0.4,0.6667,-0.2667
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,real,False,Claude,multiple,B,Dove,18,30,0.6,0.3333,0.2667
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,sabotage,False,Claude,multiple,A,Hawk,20,30,0.6667,0.6667,0.0
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,sabotage,False,Claude,multiple,B,Dove,10,30,0.3333,0.3333,0.0
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,self,False,Claude,multiple,A,Hawk,19,30,0.6333,0.6667,-0.0333
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,self,False,Claude,multiple,B,Dove,11,30,0.3667,0.3333,0.0333
Claude-Haiku-5.2,matching_pennies,Matching Pennies,neutral,False,Claude,mixed,A,Heads,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,matching_pennies,Matching Pennies,neutral,False,Claude,mixed,B,Tails,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,matching_pennies,Matching Pennies,real,False,Claude,mixed,A,Heads,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,matching_pennies,Matching Pennies,real,False,Claude,mixed,B,Tails,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,matching_pennies,Matching Pennies,sabotage,False,Claude,mixed,A,Heads,23,30,0.7667,0.5,0.2667
Claude-Haiku-5.2,matching_pennies,Matching Pennies,sabotage,False,Claude,mixed,B,Tails,7,30,0.2333,0.5,-0.2667
Claude-Haiku-5.2,matching_pennies,Matching Pennies,self,False,Claude,mixed,A,Heads,30,30,1.0,0.5,0.5
Claude-Haiku-5.2,matching_pennies,Matching Pennies,self,False,Claude,mixed,B,Tails,0,30,0.0,0.5,-0.5
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,neutral,False,Claude,pure_dominant,A,Cooperate,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,neutral,False,Claude,pure_dominant,B,Defect,30,30,1.0,1.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,real,False,Claude,pure_dominant,A,Cooperate,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,real,False,Claude,pure_dominant,B,Defect,30,30,1.0,1.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,sabotage,False,Claude,pure_dominant,A,Cooperate,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,sabotage,False,Claude,pure_dominant,B,Defect,30,30,1.0,1.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,self,False,Claude,pure_dominant,A,Cooperate,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,self,False,Claude,pure_dominant,B,Defect,30,30,1.0,1.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,neutral,False,Claude,n_player,A,Contribute 0,24,30,0.8,1.0,-0.2
Claude-Haiku-5.2,public_goods,Public Goods Game,neutral,False,Claude,n_player,B,Contribute 5,6,30,0.2,0.0,0.2
Claude-Haiku-5.2,public_goods,Public Goods Game,neutral,False,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,real,False,Claude,n_player,A,Contribute 0,21,30,0.7,1.0,-0.3
Claude-Haiku-5.2,public_goods,Public Goods Game,real,False,Claude,n_player,B,Contribute 5,9,30,0.3,0.0,0.3
Claude-Haiku-5.2,public_goods,Public Goods Game,real,False,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,sabotage,False,Claude,n_player,A,Contribute 0,27,30,0.9,1.0,-0.1
Claude-Haiku-5.2,public_goods,Public Goods Game,sabotage,False,Claude,n_player,B,Contribute 5,3,30,0.1,0.0,0.1
Claude-Haiku-5.2,public_goods,Public Goods Game,sabotage,False,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,self,False,Claude,n_player,A,Contribute 0,30,30,1.0,1.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,self,False,Claude,n_player,B,Contribute 5,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,self,False,Claude,n_player,C,Contribute 10,0,30,0.0,0.0,0.0
Claude-Haiku-5.2,rock_paper_scissors,Rock Paper Scissors,neutral,False,Claude,mixed,A,Rock,13,30,0.4333,0.3333,0.1
