model,game,motivation,thinking,family,game_category,nash_rate,n_valid,n_invalid,l1_distance,eu_empirical,eu_nash,eu_loss,exploitability,emp_coop_rate,cooperation_bias,epsilon_nash
Claude Sonnet 4.5,battle_of_sexes,neutral,True,Claude,multiple,1.0,30,False,0.2666,1.1333,1.0,-0.1333,,,,0.28
Claude-Haiku-5.2,battle_of_sexes,neutral,False,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash,battle_of_sexes,neutral,True,Google,multiple,1.0,30,False,0.0666,1.0333,1.0,-0.0333,,,,0.33
gemini-2.5-flash-lite,battle_of_sexes,neutral,False,Google,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gpt-5.5,battle_of_sexes,neutral,False,OpenAI,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
o4-mini,battle_of_sexes,neutral,True,OpenAI,multiple,1.0,30,False,0.4,1.2,1.0,-0.2,,,,0.2133
Claude Sonnet 4.5,battle_of_sexes,real,True,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
Claude-Haiku-5.2,battle_of_sexes,real,False,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash,battle_of_sexes,real,True,Google,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash-lite,battle_of_sexes,real,False,Google,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gpt-5.5,battle_of_sexes,real,False,OpenAI,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
o4-mini,battle_of_sexes,real,True,OpenAI,multiple,1.0,30,False,0.1334,0.9333,1.0,0.0667,,,,0.32
Claude Sonnet 4.5,battle_of_sexes,sabotage,True,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
Claude-Haiku-5.2,battle_of_sexes,sabotage,False,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash,battle_of_sexes,sabotage,True,Google,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash-lite,battle_of_sexes,sabotage,False,Google,multiple,1.0,30,False,0.1334,1.0666,1.0,-0.0666,,,,0.32
gpt-5.5,battle_of_sexes,sabotage,False,OpenAI,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
o4-mini,battle_of_sexes,sabotage,True,OpenAI,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
Claude Sonnet 4.5,battle_of_sexes,self,True,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
Claude-Haiku-5.2,battle_of_sexes,self,False,Claude,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash,battle_of_sexes,self,True,Google,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
gemini-2.5-flash-lite,battle_of_sexes,self,False,Google,multiple,1.0,30,False,0.6666,1.3333,1.0,-0.3333,,,,0.0
