trial_id,timestamp,model,game,game_name,motivation,prompt_variant,nash_action,nash_type,nash_note,parsed_action,is_valid,is_nash,tokens_used,api_error
05a87956,2026-06-29T00:38:14.087752,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,365,
dd613f4d,2026-06-29T00:38:16.598072,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
6325472f,2026-06-29T00:38:21.896383,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,382,
a8b22c99,2026-06-29T00:38:24.160260,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
ae76d0ee,2026-06-29T00:38:26.392470,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
bb765326,2026-06-29T00:38:29.059817,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
ad87fc04,2026-06-29T00:38:31.800225,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
64dc6a8b,2026-06-29T00:38:33.981744,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
bafd0104,2026-06-29T00:38:36.668414,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
8bf0b3a8,2026-06-29T00:38:39.242125,protected.gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
