model,game,game_name,motivation,thinking,family,emp_coop_rate,nash_coop_rate,cooperation_bias
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,neutral,True,Claude,0.5,0.0,0.5
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,True,Claude,0.0,0.0,0.0
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,Claude,0.2333,0.0,0.2333
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,self,True,Claude,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,neutral,True,Claude,0.5333,0.0,0.5333
Claude Sonnet 4.5,public_goods,Public Goods Game,real,True,Claude,0.6,0.0,0.6
Claude Sonnet 4.5,public_goods,Public Goods Game,sabotage,True,Claude,0.0,0.0,0.0
Claude Sonnet 4.5,public_goods,Public Goods Game,self,True,Claude,0.0,0.0,0.0
Claude Sonnet 4.5,stag_hunt,Stag Hunt,neutral,True,Claude,0.2333,0.5,-0.2667
Claude Sonnet 4.5,stag_hunt,Stag Hunt,real,True,Claude,0.5333,0.5,0.0333
Claude Sonnet 4.5,stag_hunt,Stag Hunt,sabotage,True,Claude,0.0,0.5,-0.5
Claude Sonnet 4.5,stag_hunt,Stag Hunt,self,True,Claude,0.0,0.5,-0.5
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,neutral,False,Claude,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,real,False,Claude,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,sabotage,False,Claude,0.0,0.0,0.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,self,False,Claude,0.0,0.0,0.0
Claude-Haiku-5.2,public_goods,Public Goods Game,neutral,False,Claude,0.2,0.0,0.2
Claude-Haiku-5.2,public_goods,Public Goods Game,real,False,Claude,0.3,0.0,0.3
Claude-Haiku-5.2,public_goods,Public Goods Game,sabotage,False,Claude,0.1,0.0,0.1
Claude-Haiku-5.2,public_goods,Public Goods Game,self,False,Claude,0.0,0.0,0.0
Claude-Haiku-5.2,stag_hunt,Stag Hunt,neutral,False,Claude,0.0,0.5,-0.5
Claude-Haiku-5.2,stag_hunt,Stag Hunt,real,False,Claude,0.0,0.5,-0.5
Claude-Haiku-5.2,stag_hunt,Stag Hunt,sabotage,False,Claude,0.0,0.5,-0.5
Claude-Haiku-5.2,stag_hunt,Stag Hunt,self,False,Claude,0.0,0.5,-0.5
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,neutral,True,Google,0.0,0.0,0.0
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,real,True,Google,0.0,0.0,0.0
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,Google,0.0,0.0,0.0
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,self,True,Google,0.0,0.0,0.0
gemini-2.5-flash,public_goods,Public Goods Game,neutral,True,Google,0.1667,0.0,0.1667
gemini-2.5-flash,public_goods,Public Goods Game,real,True,Google,0.0,0.0,0.0
