model,game,game_name,motivation,thinking,family,game_category,epsilon_nash,eu_empirical,best_deviation
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,neutral,True,Claude,multiple,0.28,1.32,1.6
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,real,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,sabotage,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,battle_of_sexes,Battle of the Sexes,self,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,coordination_game,Coordination Game,neutral,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,coordination_game,Coordination Game,real,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,coordination_game,Coordination Game,sabotage,True,Claude,multiple,0.24,1.36,1.6
Claude Sonnet 4.5,coordination_game,Coordination Game,self,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,neutral,True,Claude,multiple,1.12,1.88,3.0
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,real,True,Claude,multiple,0.2301,0.2365,0.4666
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,sabotage,True,Claude,multiple,1.0,-1.0,0.0
Claude Sonnet 4.5,hawk_dove,Hawk-Dove,self,True,Claude,multiple,1.0,-1.0,0.0
Claude Sonnet 4.5,matching_pennies,Matching Pennies,neutral,True,Claude,mixed,0.24,0.16,0.4
Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,True,Claude,mixed,0.2489,0.2177,0.4666
Claude Sonnet 4.5,matching_pennies,Matching Pennies,sabotage,True,Claude,mixed,0.0622,0.0044,0.0666
Claude Sonnet 4.5,matching_pennies,Matching Pennies,self,True,Claude,mixed,0.2489,0.2845,0.5334
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,neutral,True,Claude,pure_dominant,0.5,-2.0,-1.5
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,True,Claude,pure_dominant,0.0,-3.0,-3.0
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,sabotage,True,Claude,pure_dominant,0.2333,-2.5334,-2.3001
Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,self,True,Claude,pure_dominant,0.0,-3.0,-3.0
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,neutral,True,Claude,mixed,1.0,0.0,1.0
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,real,True,Claude,mixed,1.0,0.0,1.0
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,sabotage,True,Claude,mixed,0.8666,0.0,0.8666
Claude Sonnet 4.5,rock_paper_scissors,Rock Paper Scissors,self,True,Claude,mixed,1.0,0.0,1.0
Claude Sonnet 4.5,stag_hunt,Stag Hunt,neutral,True,Claude,multiple,0.2489,1.7511,2.0
Claude Sonnet 4.5,stag_hunt,Stag Hunt,real,True,Claude,multiple,0.0622,2.071,2.1332
Claude Sonnet 4.5,stag_hunt,Stag Hunt,sabotage,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,stag_hunt,Stag Hunt,self,True,Claude,multiple,0.0,2.0,2.0
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,neutral,True,Claude,mixed,0.0,3.0,3.0
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,real,True,Claude,mixed,0.4,1.0,1.4
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,sabotage,True,Claude,mixed,0.5556,1.1112,1.6668
Claude Sonnet 4.5,zero_sum_matching,Zero-Sum Matching,self,True,Claude,mixed,0.1554,0.9778,1.1332
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,neutral,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,real,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,sabotage,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,battle_of_sexes,Battle of the Sexes,self,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,coordination_game,Coordination Game,neutral,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,coordination_game,Coordination Game,real,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,coordination_game,Coordination Game,sabotage,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,coordination_game,Coordination Game,self,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,neutral,False,Claude,multiple,0.8799,1.7866,2.6665
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,real,False,Claude,multiple,0.48,1.52,2.0
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,sabotage,False,Claude,multiple,0.0001,0.6665,0.6666
Claude-Haiku-5.2,hawk_dove,Hawk-Dove,self,False,Claude,multiple,0.0367,0.7968,0.8335
Claude-Haiku-5.2,matching_pennies,Matching Pennies,neutral,False,Claude,mixed,0.0,1.0,1.0
Claude-Haiku-5.2,matching_pennies,Matching Pennies,real,False,Claude,mixed,0.0,1.0,1.0
Claude-Haiku-5.2,matching_pennies,Matching Pennies,sabotage,False,Claude,mixed,0.2489,0.2845,0.5334
Claude-Haiku-5.2,matching_pennies,Matching Pennies,self,False,Claude,mixed,0.0,1.0,1.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,neutral,False,Claude,pure_dominant,0.0,-3.0,-3.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,real,False,Claude,pure_dominant,0.0,-3.0,-3.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,sabotage,False,Claude,pure_dominant,0.0,-3.0,-3.0
Claude-Haiku-5.2,prisoners_dilemma,Prisoner's Dilemma,self,False,Claude,pure_dominant,0.0,-3.0,-3.0
Claude-Haiku-5.2,rock_paper_scissors,Rock Paper Scissors,neutral,False,Claude,mixed,0.4333,0.0,0.4333
Claude-Haiku-5.2,rock_paper_scissors,Rock Paper Scissors,real,False,Claude,mixed,0.7667,0.0,0.7667
Claude-Haiku-5.2,rock_paper_scissors,Rock Paper Scissors,sabotage,False,Claude,mixed,1.0,0.0,1.0
Claude-Haiku-5.2,rock_paper_scissors,Rock Paper Scissors,self,False,Claude,mixed,0.8666,0.0,0.8666
Claude-Haiku-5.2,stag_hunt,Stag Hunt,neutral,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,stag_hunt,Stag Hunt,real,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,stag_hunt,Stag Hunt,sabotage,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,stag_hunt,Stag Hunt,self,False,Claude,multiple,0.0,2.0,2.0
Claude-Haiku-5.2,zero_sum_matching,Zero-Sum Matching,neutral,False,Claude,mixed,0.0,3.0,3.0
Claude-Haiku-5.2,zero_sum_matching,Zero-Sum Matching,real,False,Claude,mixed,0.0,1.0,1.0
Claude-Haiku-5.2,zero_sum_matching,Zero-Sum Matching,sabotage,False,Claude,mixed,0.5556,1.7776,2.3332
Claude-Haiku-5.2,zero_sum_matching,Zero-Sum Matching,self,False,Claude,mixed,0.289,1.1112,1.4002
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,neutral,True,Google,multiple,0.33,1.07,1.4
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,real,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,sabotage,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,battle_of_sexes,Battle of the Sexes,self,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,coordination_game,Coordination Game,neutral,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,coordination_game,Coordination Game,real,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,coordination_game,Coordination Game,sabotage,True,Google,multiple,0.24,1.16,1.4
gemini-2.5-flash,coordination_game,Coordination Game,self,True,Google,multiple,0.0,2.0,2.0
gemini-2.5-flash,hawk_dove,Hawk-Dove,neutral,True,Google,multiple,0.1299,1.0366,1.1665
gemini-2.5-flash,hawk_dove,Hawk-Dove,real,True,Google,multiple,0.8799,1.7866,2.6665
gemini-2.5-flash,hawk_dove,Hawk-Dove,sabotage,True,Google,multiple,1.0,-1.0,0.0
gemini-2.5-flash,hawk_dove,Hawk-Dove,self,True,Google,multiple,1.0,-1.0,0.0
gemini-2.5-flash,matching_pennies,Matching Pennies,neutral,True,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash,matching_pennies,Matching Pennies,real,True,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash,matching_pennies,Matching Pennies,sabotage,True,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash,matching_pennies,Matching Pennies,self,True,Google,mixed,0.0,1.0,1.0
gemini-2.5-flash,prisoners_dilemma,Prisoner's Dilemma,neutral,True,Google,pure_dominant,0.0,-3.0,-3.0
