trial_id,timestamp,model,game,game_name,motivation,prompt_variant,nash_action,nash_type,nash_note,parsed_action,is_valid,is_nash,tokens_used,api_error
1d9708cb,2026-06-28T04:29:46.419227,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,371,
aa4e8e1b,2026-06-28T04:29:48.396745,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
918deb9c,2026-06-28T04:29:50.420750,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
73044ff5,2026-06-28T04:29:54.664309,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,226,
cf8105f4,2026-06-28T04:29:56.847053,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
14f05e0a,2026-06-28T04:29:59.104547,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
2f6afe7c,2026-06-28T04:30:01.259499,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
3e62820f,2026-06-28T04:30:03.910701,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
0a60375a,2026-06-28T04:30:06.445241,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
468d73b3,2026-06-28T04:30:08.377513,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
b82537c1,2026-06-28T04:30:10.502317,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
bf469d5f,2026-06-28T04:30:12.508284,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
c26503cc,2026-06-28T04:30:14.498593,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
a18ecf7e,2026-06-28T04:30:18.659766,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,285,
5d3096a9,2026-06-28T04:30:20.807314,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
bef1a9a0,2026-06-28T04:30:22.952905,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
c49894e7,2026-06-28T04:30:25.055726,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
9b641487,2026-06-28T04:30:27.287997,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
8cfec0e4,2026-06-28T04:30:29.273496,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
6655f757,2026-06-28T04:30:31.408939,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
f8175717,2026-06-28T04:30:33.535555,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
b980c519,2026-06-28T04:30:35.667152,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
53603877,2026-06-28T04:30:37.768065,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
26788272,2026-06-28T04:30:39.911832,protected.o4-mini,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
