trial_id,timestamp,model,game,game_name,motivation,prompt_variant,nash_action,nash_type,nash_note,parsed_action,is_valid,is_nash,tokens_used,api_error
388722cf,2026-06-28T01:39:49.013295,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,540,
74f88c24,2026-06-28T01:39:51.164304,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,368,
80fa4271,2026-06-28T01:40:01.268651,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,503,
c1df91cc,2026-06-28T01:40:03.358082,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,368,
6da7e18f,2026-06-28T01:40:05.470492,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
582c3c15,2026-06-28T01:40:07.704514,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
366e3980,2026-06-28T01:40:09.818145,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
d3bb4fea,2026-06-28T01:40:11.808356,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
8b5807ba,2026-06-28T01:40:13.902491,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,457,
c4773a1b,2026-06-28T01:40:16.523376,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
c577855c,2026-06-28T01:40:18.619922,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
93e513b8,2026-06-28T01:40:26.973314,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,413,
ca2a5813,2026-06-28T01:40:29.172741,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,368,
507c8e91,2026-06-28T01:40:31.945007,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,457,
7d36ede2,2026-06-28T01:40:34.031753,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
e57dc591,2026-06-28T01:40:36.150330,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,340,
40eb26d6,2026-06-28T01:40:38.268413,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,368,
dd7ed6d3,2026-06-28T01:40:40.288773,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
dac8d74c,2026-06-28T01:40:42.345954,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
cdf1125d,2026-06-28T01:40:44.325226,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,340,
2ad3f8ad,2026-06-28T01:40:46.219750,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,457,
5b481541,2026-06-28T01:40:48.089710,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
416f4916,2026-06-28T01:40:50.057208,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,368,
b255c742,2026-06-28T01:40:51.955544,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
fc5dc162,2026-06-28T01:40:54.110751,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
d721b7d0,2026-06-28T01:40:56.268617,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,340,
893facce,2026-06-28T01:40:58.237031,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
f3722d8c,2026-06-28T01:41:00.130304,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,377,
590a2f62,2026-06-28T01:41:02.207505,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,427,
cf2acfba,2026-06-28T01:41:04.181767,protected.Claude Sonnet 4.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,368,
7dfac5ca,2026-06-28T01:41:11.257146,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,B,True,True,363,
1b2d2503,2026-06-28T01:41:18.097246,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,356,
c2d2aab0,2026-06-28T01:41:24.593333,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,343,
96cd5030,2026-06-28T01:41:26.530478,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,299,
f1152b50,2026-06-28T01:41:34.028135,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,338,
6fcdaa77,2026-06-28T01:41:35.915283,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,299,
f56bebd4,2026-06-28T01:41:37.826222,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,B,True,True,301,
1c1c924f,2026-06-28T01:41:44.506680,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,354,
da6dc385,2026-06-28T01:41:46.448740,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,299,
cea74f07,2026-06-28T01:41:48.338427,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,280,
eb7947eb,2026-06-28T01:41:50.432599,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,280,
ecd2af87,2026-06-28T01:41:52.364576,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,288,
a3928079,2026-06-28T01:41:54.256973,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,280,
69b1858b,2026-06-28T01:41:56.194965,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,B,True,True,301,
d202a4be,2026-06-28T01:41:58.215912,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,279,
980590a2,2026-06-28T01:42:00.276849,protected.Claude Sonnet 4.5,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,288,
