trial_id,timestamp,model,game,game_name,motivation,prompt_variant,nash_action,nash_type,nash_note,parsed_action,is_valid,is_nash,tokens_used,api_error
95a7c6d7,2026-06-28T03:08:41.299755,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,153,
2285b4af,2026-06-28T03:08:45.667712,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,219,
bd7d0428,2026-06-28T03:08:47.720755,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,164,
01ad710b,2026-06-28T03:08:49.922686,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,153,
27dcf6c0,2026-06-28T03:08:53.989268,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,219,
2c99d324,2026-06-28T03:08:55.966147,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
aacb03cf,2026-06-28T03:08:58.092990,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
ec44192b,2026-06-28T03:09:00.104687,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
9efb86d7,2026-06-28T03:09:02.161103,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
7e5e765f,2026-06-28T03:09:04.164099,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,153,
dbe10d15,2026-06-28T03:09:06.318122,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
0d29028b,2026-06-28T03:09:08.381237,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
dc392c03,2026-06-28T03:09:10.919601,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
68329372,2026-06-28T03:09:12.787704,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,153,
b53e9c58,2026-06-28T03:09:14.823996,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
047785a2,2026-06-28T03:09:16.844416,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
8bc4a921,2026-06-28T03:09:19.656220,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
b728c9bd,2026-06-28T03:09:23.648441,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,201,
ec2918e6,2026-06-28T03:09:25.561600,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
c613f01f,2026-06-28T03:09:27.621021,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,164,
17e54b46,2026-06-28T03:09:29.597067,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
b37658db,2026-06-28T03:09:31.506350,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,153,
1e2686e4,2026-06-28T03:09:33.547916,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
be8ba053,2026-06-28T03:09:35.511890,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,153,
9cd147d6,2026-06-28T03:09:37.461944,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
1d71d046,2026-06-28T03:09:39.391913,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
5eeaa227,2026-06-28T03:09:41.329063,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,164,
1c7b738e,2026-06-28T03:09:43.314775,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
6329446b,2026-06-28T03:09:45.348897,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,161,
9bf85de7,2026-06-28T03:09:47.311707,protected.gpt-5.5,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,TRUE,TRUE,144,
