trial_id,timestamp,model,game,game_name,motivation,prompt_variant,nash_action,nash_type,nash_note,parsed_action,is_valid,is_nash,tokens_used,api_error
c9816096,2026-06-28T05:40:40.615866,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
1e234199,2026-06-28T05:40:42.518303,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
42f8f678,2026-06-28T05:40:44.473550,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
b0414940,2026-06-28T05:40:46.592832,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
1bffd50e,2026-06-28T05:40:49.287507,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
cab75d88,2026-06-28T05:40:51.364430,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
ff4a70ed,2026-06-28T05:40:53.331504,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
4fd5c87b,2026-06-28T05:40:55.446319,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
358b5f7b,2026-06-28T05:40:57.336053,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
e2edb933,2026-06-28T05:40:59.337740,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
b33cecbb,2026-06-28T05:41:01.299505,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
e31c6946,2026-06-28T05:41:03.977207,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
fcceeb23,2026-06-28T05:41:05.917083,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
5610be00,2026-06-28T05:41:07.848362,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
614103cf,2026-06-28T05:41:09.810661,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
aea4670d,2026-06-28T05:41:11.920094,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
b59c7a7c,2026-06-28T05:41:13.837613,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
d54421b4,2026-06-28T05:41:15.804482,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
d227d373,2026-06-28T05:41:17.803237,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
6b736392,2026-06-28T05:41:19.696749,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
3dcc3c72,2026-06-28T05:41:21.630713,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,0,B,pure,Defect (B) — strictly dominant strategy,B,True,True,164,
58745f4b,2026-06-28T05:41:23.559095,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
6b943118,2026-06-28T05:41:25.976603,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
aa7742b9,2026-06-28T05:41:27.968677,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
dbf6c34e,2026-06-28T05:41:29.934381,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
6ea9a9e1,2026-06-28T05:41:31.954611,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,3,B,pure,Defect (B) — strictly dominant strategy,B,True,True,139,
bba709e1,2026-06-28T05:41:33.861118,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
ba39ff31,2026-06-28T05:41:35.861818,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,4,B,pure,Defect (B) — strictly dominant strategy,B,True,True,144,
4119f70e,2026-06-28T05:41:37.962384,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,2,B,pure,Defect (B) — strictly dominant strategy,B,True,True,161,
87139b68,2026-06-28T05:41:40.043864,protected.gemini-2.5-flash-lite,prisoners_dilemma,Prisoner's Dilemma,real,1,B,pure,Defect (B) — strictly dominant strategy,B,True,True,153,
b76d0877,2026-06-28T05:41:43.197516,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,121,
da7537a6,2026-06-28T05:41:45.720635,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,116,
178f5734,2026-06-28T05:41:47.778381,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,129,
8a64e208,2026-06-28T05:41:49.773685,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,129,
0850fc1a,2026-06-28T05:41:51.985051,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,123,
f149d253,2026-06-28T05:41:53.945288,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,129,
ac8408bd,2026-06-28T05:41:55.924584,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,0,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,125,
c6f96926,2026-06-28T05:41:58.438708,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,145,
5137c68a,2026-06-28T05:42:00.401312,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,129,
664cbc45,2026-06-28T05:42:02.806140,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,121,
dd8f401b,2026-06-28T05:42:04.858661,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,129,
66827747,2026-06-28T05:42:06.779120,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,128,
76617e52,2026-06-28T05:42:08.784042,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,131,
5d58fef6,2026-06-28T05:42:10.714531,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,128,
bd2d45be,2026-06-28T05:42:13.018467,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,154,
991bd1aa,2026-06-28T05:42:15.001586,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,131,
aeccfc06,2026-06-28T05:42:17.008410,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,131,
407d0470,2026-06-28T05:42:18.955712,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,2,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,154,
635f4a06,2026-06-28T05:42:20.897587,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,128,
c6d06ce4,2026-06-28T05:42:22.887200,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,1,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,128,
7d42a796,2026-06-28T05:42:24.864320,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,131,
16cfec6e,2026-06-28T05:42:26.812304,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,4,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,131,
f01a5b3d,2026-06-28T05:42:28.671747,protected.gemini-2.5-flash-lite,matching_pennies,Matching Pennies,real,3,"A,B",mixed,Mixed NE: play each with probability 0.5,A,True,True,129,
